isocode,year,rtfpna
USA,1950,0.6171478629112244
USA,1951,0.6295884251594543
USA,1952,0.638451337814331
USA,1953,0.6518582105636597
USA,1954,0.6461794376373291
USA,1955,0.6687729358673096
USA,1956,0.6609998941421509
USA,1957,0.6621648073196411
USA,1958,0.6548125147819519
USA,1959,0.6806795001029968
USA,1960,0.6781228184700012
USA,1961,0.6806922554969788
USA,1962,0.7000679969787598
USA,1963,0.709036111831665
USA,1964,0.7232545614242554
USA,1965,0.7401488423347473
USA,1966,0.7561739087104797
USA,1967,0.7483883500099182
USA,1968,0.7585538625717163
USA,1969,0.7544527053833008
USA,1970,0.7398825287818909
USA,1971,0.7519034147262573
USA,1972,0.7642947435379028
USA,1973,0.7768552899360657
USA,1974,0.7502252459526062
USA,1975,0.7439113259315491
USA,1976,0.7571526169776917
USA,1977,0.7623404264450073
USA,1978,0.7705070972442627
USA,1979,0.76779937744140625
USA,1980,0.7530056834220886
USA,1981,0.7591724991798401
USA,1982,0.7426289916038513
USA,1983,0.7630539536476135
USA,1984,0.7880086898803711
USA,1985,0.8002187609672546
USA,1986,0.8062083125114441
USA,1987,0.808937132358551
USA,1988,0.8211951851844788
USA,1989,0.8304957151412964
USA,1990,0.8322657942771912
USA,1991,0.828066885471344
USA,1992,0.8461574912071228
USA,1993,0.8543828725814819
USA,1994,0.8667795658111572
USA,1995,0.869562566280365
USA,1996,0.8842038512229919
USA,1997,0.9001898765563965
USA,1998,0.918917179107666
USA,1999,0.9413750767707825
USA,2000,0.9594316482543945
USA,2001,0.9578253030776978
USA,2002,0.966916561126709
USA,2003,0.975909948348999
USA,2004,0.9920576810836792
USA,2005,1
USA,2006,1.0040003061294556
USA,2007,1.006595253944397
USA,2008,0.9984992742538452
USA,2009,0.9867377877235413
USA,2010,1.0094630718231201
USA,2011,1.020391821861267
CAN,1950,0.8433347940444946
CAN,1951,0.855122983455658
CAN,1952,0.8964892625808716
CAN,1953,0.9106582403182983
CAN,1954,0.875177800655365
CAN,1955,0.9276822209358215
CAN,1956,0.97986900806427
CAN,1957,0.9697281122207642
CAN,1958,0.9599283933639526
CAN,1959,0.974204957485199
CAN,1960,0.931278645992279
CAN,1961,0.9287078976631165
CAN,1962,0.9567107558250427
CAN,1963,0.9730290174484253
CAN,1964,0.9932155013084412
CAN,1965,1.009907603263855
CAN,1966,1.0163369178771973
CAN,1967,1.003263235092163
CAN,1968,1.0223480463027954
CAN,1969,1.03248131275177
CAN,1970,1.0338034629821777
CAN,1971,1.0374722480773926
CAN,1972,1.0507104396820068
CAN,1973,1.0653431415557861
CAN,1974,1.0532701015472412
CAN,1975,1.0384669303894043
CAN,1976,1.0364397764205933
CAN,1977,1.0381832122802734
CAN,1978,1.035278558731079
CAN,1979,1.0218113660812378
CAN,1980,1.003521203994751
CAN,1981,1.0036829710006714
CAN,1982,0.9832258820533752
CAN,1983,0.993445098400116
CAN,1984,1.0219427347183228
CAN,1985,1.0362533330917358
CAN,1986,1.0207436084747314
CAN,1987,1.023545742034912
CAN,1988,1.0308436155319214
CAN,1989,1.022287368774414
CAN,1990,1.0007789134979248
CAN,1991,0.9740902185440063
CAN,1992,0.976438581943512
CAN,1993,0.9845812916755676
CAN,1994,1.0047389268875122
CAN,1995,1.0084209442138672
CAN,1996,1.0057704448699951
CAN,1997,1.0173662900924683
CAN,1998,1.0255228281021118
CAN,1999,1.0469565391540527
CAN,2000,1.0661041736602783
CAN,2001,1.05035400390625
CAN,2002,1.0394744873046875
CAN,2003,1.0165166854858398
CAN,2004,1.0086925029754639
CAN,2005,1
CAN,2006,0.99513179063797
CAN,2007,0.9814327955245972
CAN,2008,0.9583569765090942
CAN,2009,0.9264822006225586
CAN,2010,0.9325665831565857
CAN,2011,0.9294053912162781
MEX,1950,0.7981593012809753
MEX,1951,0.860931396484375
MEX,1952,0.87696772813797
MEX,1953,0.8552044630050659
MEX,1954,0.9291679263114929
MEX,1955,0.9818485975265503
MEX,1956,1.0271602869033813
MEX,1957,1.0740375518798828
MEX,1958,1.0915502309799194
MEX,1959,1.0855638980865479
MEX,1960,1.1482443809509277
MEX,1961,1.129815697669983
MEX,1962,1.1326359510421753
MEX,1963,1.1914269924163818
MEX,1964,1.2908802032470703
MEX,1965,1.2937291860580444
MEX,1966,1.30258047580719
MEX,1967,1.306867003440857
MEX,1968,1.3471068143844604
MEX,1969,1.331274151802063
MEX,1970,1.3517636060714722
MEX,1971,1.332947015762329
MEX,1972,1.3607896566390991
MEX,1973,1.3837183713912964
MEX,1974,1.3739711046218872
MEX,1975,1.3531204462051392
MEX,1976,1.3270817995071411
MEX,1977,1.3015443086624146
MEX,1978,1.325737714767456
MEX,1979,1.346103310585022
MEX,1980,1.3495864868164062
MEX,1981,1.3662800788879395
MEX,1982,1.2887375354766846
MEX,1983,1.2136229276657104
MEX,1984,1.2130910158157349
MEX,1985,1.1946879625320435
MEX,1986,1.1141175031661987
MEX,1987,1.0997505187988281
MEX,1988,1.0755729675292969
MEX,1989,1.0845842361450195
MEX,1990,1.0988974571228027
MEX,1991,1.1010850667953491
MEX,1992,1.0961675643920898
MEX,1993,1.0781174898147583
MEX,1994,1.0766171216964722
MEX,1995,1.0050045251846313
MEX,1996,1.023274302482605
MEX,1997,1.0445234775543213
MEX,1998,1.0514060258865356
MEX,1999,1.0501482486724854
MEX,2000,1.0727753639221191
MEX,2001,1.0367354154586792
MEX,2002,1.0050327777862549
MEX,2003,0.9912721514701843
MEX,2004,0.9949626922607422
MEX,2005,1
MEX,2006,1.01175057888031
MEX,2007,1.0136733055114746
MEX,2008,0.9915478229522705
MEX,2009,0.9158785343170166
MEX,2010,0.9416036605834961
MEX,2011,0.9557656645774841
